provinsi,jumlah balita,stunting (pendek),stunting (sangat pendek),persentase stunting
ACEH,394129,18641,5962,6.2
SUMATERA UTARA,946365,19631,8458,3.0
SUMATERA BARAT,377410,23481,7143,8.1
RIAU,368260,6877,2301,2.5
JAMBI,209492,4058,1651,2.7
SUMATERA SELATAN,588116,5842,2353,1.4
BENGKULU,107916,3386,820,3.9
LAMPUNG,533985,11126,3560,2.8
KEPULAUAN BANGKA BELITUNG,97246,2363,801,3.3
KEPULAUAN RIAU,118312,2874,868,3.2
DKI JAKARTA,361697,3858,1787,1.6
JAWA BARAT,3087192,114430,37878,4.9
JAWA TENGAH,1940103,132359,34875,8.6
DI YOGYAKARTA,163458,9728,2803,7.7
JAWA TIMUR,2213709,99778,28902,5.8
BANTEN,760984,15707,6303,2.9
BALI,176827,4871,1282,3.5
NUSA TENGGARA BARAT,441000,42365,13445,12.7
NUSA TENGGARA TIMUR,421957,44098,18348,14.8
KALIMANTAN BARAT,357582,22686,8449,8.7
KALIMANTAN TENGAH,113911,9480,3114,11.1
KALIMANTAN SELATAN,259391,15915,5286,8.2
KALIMANTAN TIMUR,196073,13151,4482,9.0
KALIMANTAN UTARA,45742,2222,836,6.7
SULAWESI UTARA,131656,1638,566,1.7
SULAWESI TENGAH,167399,11740,5658,10.4
SULAWESI SELATAN,564938,30222,10969,7.3
SULAWESI TENGGARA,157178,12291,3852,10.3
GORONTALO,84718,3277,1262,5.4
SULAWESI BARAT,89544,15818,5614,23.9
MALUKU,132847,5561,1644,5.4
MALUKU UTARA,80164,5335,1627,8.7
PAPUA BARAT,28128,1926,695,9.3
PAPUA,50790,3419,1008,8.7
PAPUA PEGUNUNGAN,35146,895,659,4.4
PAPUA SELATAN,24201,2141,921,12.7
PAPUA TENGAH,53806,3713,1609,9.9
PAPUA BARAT DAYA,28449,1515,660,7.6
